name,location,contributions,Rating_bubbles,Brief,Ride date,Date of review,Review,
Ana Ri,"Porto Alegre, RS",14,1,horrible experience with divvy bikes,Oct 2022 ,11-Nov-22,"horrible experience with divvy bikes.when I returned the bike, it locked as it should, but didn't stop counting the time. I activated the help of the app and after sending many photos and explanations, the person who was attending said that the tour had ended and I would not be charged extra. However, I was charged 100 dollars for a one-hour tour. After a lot of explaining and stress on my part, I ended up wasting part of my short time in Chicago to resolve the issue. They returned part of the money, but still warned that the 100 dollars would be returned within 7 days. 7 days!!",
ManyBusyTrips,"Frankfort, IL",18,1,Fraudulent charges,Oct 2022 ,21-Oct-22,Fraudulent charges.Fraudulent charges after bike was returned appropriately. Ended up getting charged $400 because of their error and no one will help remedy the situation! The customer service is an absolute joke! Do not trust this service at all. too bad we cannot leave zero stars.,
Donya E,"Lisbon, Portugal",83,1,Are care when using their bikes,Oct 2022 ,1-Oct-22,Are care when using their bikes.A rip off. I used the app and ended up paying 15dollars for a 30 minute ride. Then 3 dollars for a 3 minute ride. My husband used his credit card no still doesnt khow much he paid! Be very careful with this service. It seems that they are connected to partners like LYFT who ……if you are a LYFT subscriber then LYFT charges you a lot.,
Danione W,NA,1,1,Fraud,Sep 2022 ,29-Sep-22,"Fraud.we rented some bikes after returning them correctly at the station, they charged us 300 dollars for a failure of the station itself. a fraud do not use those bicycles",
markhayw00d,"Wolverhampton, UK",1,1,Misleading and charge what they want,Sep 2022 ,25-Sep-22,"Misleading and charge what they want.Myself and my wife booked a $15 day pass. The description was 3 hour classic rides to be used over 24 hours.

As we booked on and off various bikes we received emails with quite significant charges on top of the $15. As the app said pass applied we assumed the flat rate would supersede these additional charges.

I emailed Lyft bikes and scooter who had emailed these charges and was advised the $15 day pass didn’t cover electric bikes. FrAnkly we didn’t know the difference between electric bikes or non electric bikes. Does’classic rides’ mean non electric bikes?? Apparently so!!

Very misleading and deliberately fraudulent. Avoid and just walk or take an Uber!!
Myself and my wife booked a $15 day pass. The description was 3 hour classic rides to be used over 24 hours.

As we booked on and off various bikes we received emails with quite significant charges on top of the $15. As the app said pass applied we assumed the flat rate would supersede these additional charges.

I emailed Lyft bikes and scooter who had emailed these charges and was advised the $15 day pass didn’t cover electric bikes. FrAnkly we didn’t know the difference between electric bikes or non electric bikes. Does’classic rides’ mean non electric bikes?? Apparently so!!

Very misleading and deliberately fraudulent. Avoid and just walk or take an Uber!!

To top thinks off there are not enough docking stations in popular spots and you get charged if not using these. Absolute nightmare
To top thinks off there are not enough docking stations in popular spots and you get charged if not using these. Absolute nightmare",
Sabrina S,NA,1,1,They try to rip off people hoping they will not notice!!,Aug 2022 ,21-Sep-22,"They try to rip off people hoping they will not notice!!.The last 3 times we rented a bike under 30 minutes we got charged random amounts every single time.
1st time: $10.99
2nd time: $8.99
3rd time: $22.15

I received all of them back after complaining but want everyone else to know that you should check your credit card after renting a bike with them. I cannot imagine how many people alrady got charged random amounts and did not notice! If I did not check my I already would have been charged $45.13 for no reason!!!
What a rip off!!!",
Andrew F,NA,1,1,Looking for Lawyer for lawsuit against Divvy,Sep 2022 ,20-Sep-22,"Looking for Lawyer for lawsuit against Divvy.Looking for people who have been charged ""no return"" fees, had miscommunication and/or misguided information iot group together for a lawsuit against Divvy for wrongful charges

I was called to a federal wildfire and they charged me for a bike that was returned to their equipment. Bike was returned less than 30 minutes, due to the $2 rental for 30 min. Rented bikes many times from Lyft, now when I'm out fighting fires they decide to pull this. Charged $272.50 twice for their equipment improperly working",
Caleb S,"Budapest, Hungary",1,1,$1200 charge for malfunctions equipment,Aug 2022 ,30-Aug-22,$1200 charge for malfunctions equipment.Got charged $1200 because their malfunctioning dock that locked the bike but did not seem to end the ride. Not worth the risk to rent these bikes and their customer service is rude.,
Andy W,NA,1,1,Bad,Jul 2022 ,7-Jul-22,Bad.They don’t have bikes in the stations but they have piles of them locked up not in stations. Management doesn’t respond to the lack of bikes and the employees are not in power to solve the problem,
Dc,NA,1,3,My Aching Back,May 2022 ,18-May-22,"My Aching Back.The idea of bike sharing is great. I have actually enjoyed having the convenience of the bikes since I don't own a car. But as with most ambitious apps there are a lot of things they did not consider. One of which is the amount of stealing that goes on and abuse of the app. My main concern however is the awful quality of the bikes. The original blue bikes are useless. Most of them are in horrible disrepair and the fact that these bikes get left outside all year round only contributes to that. Then you have the original ebikes, the black ones, which at first were okay but now many of them are unresponsive and also in disrepair. The bikes are very heavy and have absolutely no suspension in the seat or the bike itself. I came to realize that riding them actually aggravates my sciatica. Last year when I was riding the ebikes on a regular basis I ended up with a severe sciatica attack that had me immobilized over a week. I thought the new bikes, the light colored ones were going to be better but they are just as bad as far as the suspension. So if you are young and have no back problems perhaps you will fare well.

I do have to say that the pricing is great because if you are on any type of assistance such as snap or Medicaid you can join divvy for all and get them at a great price.",
